R	U	V	W	X	Y
b4452	b3261	b0399 // b3512 // b2664 // b1013 // b1237 // b1334	b3516	b3516	b3515
b4452	b3261	b2217 // b3515	b3516	b3516	b4452
b4452	b3261	b4401 // b3512 // b3357 // b3515 // b1237	b3516	b3516	b4718
b4452	b3261	b3512 // b3357 // b3515 // b1237	b3516	b3516	b3514
b4452	b3261	b3512 // b3357 // b3515 // b1237 // b1988	b3516	b3516	b3513
b4452	b3261	b4401 // b3357 // b3515 // b1237 // b1988	b3516	b3516	b3512
b4452	b3261	b3512 // b2217 // b1237	b3516	b3516	b3511
b4452	b3261	b4401 // b3512 // b2217 // b1237	b3516	b3516	b4131
b4452	b3261	b4401 // b3512 // b2217 // b1237	b3516	b3516	b4132
b4452	b3261	b4401 // b3357	b3516	b3516	b2741
b4452	b3261	b1334	b3516	b3516	b0451
b4452	b3261	b1334	b3516	b3516	b0450
b4452	b3261	b3512 // b2217 // b0995 // b3515 // b1237	b3516	b3516	b3508
b4452	b3261	b3512 // b2217 // b0995 // b3515 // b1237	b3516	b3516	b3509
b4452	b3261	b3512 // b2217 // b0995 // b3515 // b1237	b3516	b3516	b3510
b4452	b0995	b1988	b3516	b3516	b1583
b4452	b0995	b3512 // b2664 // b2217 // b3515 // b1237	b3516	b3516	b3507
b4452	b0995	b3512 // b2217 // b3515 // b1237	b3516	b3516	b3506
b4452	b0995	b0399 // b3512 // b2664 // b1013 // b1237 // b1334	b3516	b3516	b3515
b4452	b0995	b2217 // b3515	b3516	b3516	b4452
b4452	b0995	b4401 // b3512 // b3357 // b3515 // b1237	b3516	b3516	b4718
b4452	b0995	b3512 // b3357 // b3515 // b1237	b3516	b3516	b3514
b4452	b0995	b3512 // b3357 // b3515 // b1237 // b1988	b3516	b3516	b3513
b4452	b0995	b4401 // b3357 // b3515 // b1237 // b1988	b3516	b3516	b3512
b4452	b0995	b3512 // b2217 // b1237	b3516	b3516	b3511
b4452	b0995	b4401 // b3512 // b2217 // b1237	b3516	b3516	b4131
b4452	b0995	b4401 // b3512 // b2217 // b1237	b3516	b3516	b4132
b4452	b0995	b3261	b3516	b3516	b1237
b4452	b0995	b4401 // b3357	b3516	b3516	b2741
b4452	b0995	b4116 // b3512 // b2217 // b3261 // b3357 // b3515	b3516	b3516	b1492
b4452	b0995	b4116 // b3512 // b2217 // b3261 // b3357 // b3515	b3516	b3516	b1493
b4452	b0995	b1334	b3516	b3516	b0451
b4452	b0995	b1334	b3516	b3516	b0450
b4452	b3357	b1988	b3516	b3516	b1583
b4452	b3357	b3512 // b2664 // b2217 // b3515 // b1237	b3516	b3516	b3507
b4452	b3357	b3512 // b2217 // b3515 // b1237	b3516	b3516	b3506
b4452	b3357	b0399 // b3512 // b2664 // b1013 // b1237 // b1334	b3516	b3516	b3515
b4452	b3357	b2217 // b3515	b3516	b3516	b4452
b4452	b3357	b3512 // b2217 // b1237	b3516	b3516	b3511
b4452	b3357	b4401 // b3512 // b2217 // b1237	b3516	b3516	b4131
b4452	b3357	b4401 // b3512 // b2217 // b1237	b3516	b3516	b4132
b4452	b3357	b3261	b3516	b3516	b1237
b4452	b3357	b1334	b3516	b3516	b0451
b4452	b3357	b1334	b3516	b3516	b0450
b4452	b3357	b3512 // b2217 // b0995 // b3515 // b1237	b3516	b3516	b3508
b4452	b3357	b3512 // b2217 // b0995 // b3515 // b1237	b3516	b3516	b3509
b4452	b3357	b3512 // b2217 // b0995 // b3515 // b1237	b3516	b3516	b3510
b4452	b1013	b1988	b3516	b3516	b1583
b4452	b1013	b3512 // b2664 // b2217 // b3515 // b1237	b3516	b3516	b3507
b4452	b1013	b3512 // b2217 // b3515 // b1237	b3516	b3516	b3506
b4452	b1013	b2217 // b3515	b3516	b3516	b4452
b4452	b1013	b4401 // b3512 // b3357 // b3515 // b1237	b3516	b3516	b4718
b4452	b1013	b3512 // b3357 // b3515 // b1237	b3516	b3516	b3514
b4452	b1013	b3512 // b3357 // b3515 // b1237 // b1988	b3516	b3516	b3513
b4452	b1013	b4401 // b3357 // b3515 // b1237 // b1988	b3516	b3516	b3512
b4452	b1013	b3512 // b2217 // b1237	b3516	b3516	b3511
b4452	b1013	b4401 // b3512 // b2217 // b1237	b3516	b3516	b4131
b4452	b1013	b4401 // b3512 // b2217 // b1237	b3516	b3516	b4132
b4452	b1013	b3261	b3516	b3516	b1237
b4452	b1013	b4401 // b3357	b3516	b3516	b2741
b4452	b1013	b4116 // b4401 // b3512 // b2217 // b3261 // b0995 // b3357 // b3515 // b1237 // b1334	b3516	b3516	b3517
b4452	b1013	b4116 // b3512 // b2217 // b3261 // b3357 // b3515	b3516	b3516	b1492
b4452	b1013	b4116 // b3512 // b2217 // b3261 // b3357 // b3515	b3516	b3516	b1493
b4452	b1013	b1334	b3516	b3516	b0451
b4452	b1013	b1334	b3516	b3516	b0450
b4452	b1013	b3512 // b2217 // b0995 // b3515 // b1237	b3516	b3516	b3508
b4452	b1013	b3512 // b2217 // b0995 // b3515 // b1237	b3516	b3516	b3509
b4452	b1013	b3512 // b2217 // b0995 // b3515 // b1237	b3516	b3516	b3510
b4452	b1237	b1988	b3516	b3516	b1583
b4452	b1237	b2217 // b3515	b3516	b3516	b4452
b4452	b1237	b4401 // b3357	b3516	b3516	b2741
b4452	b1237	b4116 // b3512 // b2217 // b3261 // b3357 // b3515	b3516	b3516	b1492
b4452	b1237	b4116 // b3512 // b2217 // b3261 // b3357 // b3515	b3516	b3516	b1493
b4452	b1237	b1334	b3516	b3516	b0451
b4452	b1237	b1334	b3516	b3516	b0450
b4452	b1334	b1988	b3516	b3516	b1583
b4452	b1334	b3512 // b2664 // b2217 // b3515 // b1237	b3516	b3516	b3507
b4452	b1334	b3512 // b2217 // b3515 // b1237	b3516	b3516	b3506
b4452	b1334	b2217 // b3515	b3516	b3516	b4452
b4452	b1334	b4401 // b3512 // b3357 // b3515 // b1237	b3516	b3516	b4718
b4452	b1334	b3512 // b3357 // b3515 // b1237	b3516	b3516	b3514
b4452	b1334	b3512 // b3357 // b3515 // b1237 // b1988	b3516	b3516	b3513
b4452	b1334	b4401 // b3357 // b3515 // b1237 // b1988	b3516	b3516	b3512
b4452	b1334	b3512 // b2217 // b1237	b3516	b3516	b3511
b4452	b1334	b4401 // b3512 // b2217 // b1237	b3516	b3516	b4131
b4452	b1334	b4401 // b3512 // b2217 // b1237	b3516	b3516	b4132
b4452	b1334	b3261	b3516	b3516	b1237
b4452	b1334	b4401 // b3357	b3516	b3516	b2741
b4452	b1334	b4116 // b3512 // b2217 // b3261 // b3357 // b3515	b3516	b3516	b1492
b4452	b1334	b4116 // b3512 // b2217 // b3261 // b3357 // b3515	b3516	b3516	b1493
b4452	b1334	b3512 // b2217 // b0995 // b3515 // b1237	b3516	b3516	b3508
b4452	b1334	b3512 // b2217 // b0995 // b3515 // b1237	b3516	b3516	b3509
b4452	b1334	b3512 // b2217 // b0995 // b3515 // b1237	b3516	b3516	b3510
b4452	b1988	b3512 // b2664 // b2217 // b3515 // b1237	b3516	b3516	b3507
b4452	b1988	b3512 // b2217 // b3515 // b1237	b3516	b3516	b3506
b4452	b1988	b0399 // b3512 // b2664 // b1013 // b1237 // b1334	b3516	b3516	b3515
b4452	b1988	b2217 // b3515	b3516	b3516	b4452
b4452	b1988	b4401 // b3512 // b3357 // b3515 // b1237	b3516	b3516	b4718
b4452	b1988	b3512 // b3357 // b3515 // b1237	b3516	b3516	b3514
b4452	b1988	b3512 // b2217 // b1237	b3516	b3516	b3511
b4452	b1988	b4401 // b3512 // b2217 // b1237	b3516	b3516	b4131
b4452	b1988	b4401 // b3512 // b2217 // b1237	b3516	b3516	b4132
b4452	b1988	b3261	b3516	b3516	b1237
b4452	b1988	b4401 // b3357	b3516	b3516	b2741
b4452	b1988	b4116 // b4401 // b3512 // b2217 // b3261 // b0995 // b3357 // b3515 // b1237 // b1334	b3516	b3516	b3517
b4452	b1988	b4116 // b3512 // b2217 // b3261 // b3357 // b3515	b3516	b3516	b1492
b4452	b1988	b4116 // b3512 // b2217 // b3261 // b3357 // b3515	b3516	b3516	b1493
b4452	b1988	b1334	b3516	b3516	b0451
b4452	b1988	b1334	b3516	b3516	b0450
b4452	b1988	b3512 // b2217 // b0995 // b3515 // b1237	b3516	b3516	b3508
b4452	b1988	b3512 // b2217 // b0995 // b3515 // b1237	b3516	b3516	b3509
b4452	b1988	b3512 // b2217 // b0995 // b3515 // b1237	b3516	b3516	b3510
b4452	b3512	b1988	b0889	b3516	b1583
b4452	b3512	b4443	b0889	b3516	b0674
b4452	b3512	b1954	b0889	b3516	b1237
b4452	b3512	b1954	b0889	b3516	b2741
b4452	b1237	b1988	b0889	b3516	b1583
b4452	b1237	b4443	b0889	b3516	b0674
b4452	b1237	b1954	b0889	b3516	b2741
b4452	b1237	b3512	b0889	b3516	b1492
b4452	b1237	b3512	b0889	b3516	b1493
b4452	b1988	b3512 // b1237	b0889	b3516	b3507
b4452	b1988	b3512 // b1237	b0889	b3516	b3506
b4452	b1988	b3512 // b1237	b0889	b3516	b3515
b4452	b1988	b3512 // b1237	b0889	b3516	b4718
b4452	b1988	b3512 // b1237	b0889	b3516	b3514
b4452	b1988	b4443	b0889	b3516	b0674
b4452	b1988	b3512 // b1237	b0889	b3516	b3511
b4452	b1988	b3512 // b1237	b0889	b3516	b4131
b4452	b1988	b3512 // b1237	b0889	b3516	b4132
b4452	b1988	b1954	b0889	b3516	b1237
b4452	b1988	b1954	b0889	b3516	b2741
b4452	b1988	b3512 // b1237	b0889	b3516	b3517
b4452	b1988	b3512	b0889	b3516	b1492
b4452	b1988	b3512	b0889	b3516	b1493
b4452	b1988	b3512 // b1237	b0889	b3516	b3508
b4452	b1988	b3512 // b1237	b0889	b3516	b3509
b4452	b1988	b3512 // b1237	b0889	b3516	b3510
b4452	b0399	b0889	b3515	b3516	b1634
b4452	b0399	b0889	b3515	b3516	b1498
b4452	b0399	b0889	b3515	b3516	b1333
b4452	b0399	b3512 // b1499 // b1237 // b2664	b3515	b3516	b3507
b4452	b0399	b3512 // b1499 // b1237	b3515	b3516	b3506
b4452	b0399	b1916 // b0889	b3515	b3516	b4452
b4452	b0399	b1130 // b3512 // b1499 // b1237	b3515	b3516	b4718
b4452	b0399	b3512 // b1499 // b1237	b3515	b3516	b3514
b4452	b0399	b3512 // b1499 // b1237	b3515	b3516	b3513
b4452	b0399	b1130 // b1499 // b1237	b3515	b3516	b3512
b4452	b0399	b0889	b3515	b3516	b0674
b4452	b0399	b1130 // b3512 // b1237	b3515	b3516	b3511
b4452	b0399	b3512 // b1237 // b0889	b3515	b3516	b4131
b4452	b0399	b3512 // b1237 // b0889	b3515	b3516	b4132
b4452	b0399	b3512 // b1237 // b1334	b3515	b3516	b3517
b4452	b0399	b3512	b3515	b3516	b1492
b4452	b0399	b3512 // b0889	b3515	b3516	b1493
b4452	b0399	b1334	b3515	b3516	b0451
b4452	b0399	b1334 // b0889	b3515	b3516	b0450
b4452	b0399	b1130 // b3512 // b1237 // b0889	b3515	b3516	b3508
b4452	b0399	b1130 // b3512 // b1237 // b0889	b3515	b3516	b3509
b4452	b0399	b1130 // b3512 // b1237 // b0889	b3515	b3516	b3510
b4452	b3512	b0889	b3515	b3516	b1634
b4452	b3512	b0889	b3515	b3516	b1498
b4452	b3512	b0889	b3515	b3516	b1333
b4452	b3512	b1916 // b0889	b3515	b3516	b4452
b4452	b3512	b0889	b3515	b3516	b0674
b4452	b3512	b1334	b3515	b3516	b0451
b4452	b3512	b1334 // b0889	b3515	b3516	b0450
b4452	b1013	b0889	b3515	b3516	b1634
b4452	b1013	b0889	b3515	b3516	b1498
b4452	b1013	b0889	b3515	b3516	b1333
b4452	b1013	b3512 // b1499 // b1237 // b2664	b3515	b3516	b3507
